finding_id,finding_source,finding_type,cik,period,metric,direction,score_raw,score_adjusted,score_penalty,overlap_count,overlap_sources,caveat_codes,explanation_summary,provenance_artifacts
trend:1090872:2026-Q1:revenue_growth_qoq:strong_shift,trend_break,strong_shift,1090872,2026-Q1,revenue_growth_qoq,deteriorating,2.357813240664359,2.357813240664359,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.331832; slope_shift=-1.37249; streak=deteriorating:2; score=2.358; type=strong_shift,trend_break_signals_csv;features_csv
anomaly:1090872:2022-Q1:net_margin:self_relative,anomaly,self_relative,1090872,2022-Q1,net_margin,high,3.0,2.2,0.8,1,anomaly,insufficient_peer_coverage;limited_peer_coverage;missing_prior_period;sparse_history,"type=self_only; score=2.200; raw_score=3.000; self_component=3.000; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.800; contributors=self_z,caveat_penalty",anomalies_csv;peer_signals_csv
anomaly:1090872:2024-Q1:net_margin:self_relative,anomaly,self_relative,1090872,2024-Q1,net_margin,high,2.709042745957583,2.109042745957583,0.6,2,anomaly;trend_break,insufficient_peer_coverage;limited_peer_coverage;missing_prior_period,"type=self_only; score=2.109; raw_score=2.709; self_component=2.709; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.600; contributors=self_z,caveat_penalty",anomalies_csv;peer_signals_csv
anomaly:1090872:2024-Q1:current_ratio:self_relative,anomaly,self_relative,1090872,2024-Q1,current_ratio,high,2.534725665938372,1.9347256659383718,0.6,2,anomaly;trend_break,insufficient_peer_coverage;limited_peer_coverage;missing_prior_period,"type=self_only; score=1.935; raw_score=2.535; self_component=2.535; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.600; contributors=self_z,caveat_penalty",anomalies_csv;peer_signals_csv
trend:1090872:2024-Q3:current_ratio:moderate_shift,trend_break,moderate_shift,1090872,2024-Q3,current_ratio,mixed,1.7048447438996739,1.7048447438996739,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=0.387508; slope_shift=-0.290631; streak=mixed:2; score=1.705; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q3:current_ratio:moderate_shift,trend_break,moderate_shift,1090872,2025-Q3,current_ratio,mixed,1.6752993892445445,1.6752993892445445,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.348114; slope_shift=0.261086; streak=mixed:2; score=1.675; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q3:net_margin:moderate_shift,trend_break,moderate_shift,1090872,2024-Q3,net_margin,deteriorating,1.6252834215897307,1.6252834215897307,0.0,2,anomaly;trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=-0.0139865; slope_shift=-0.0549669; streak=deteriorating:2; score=1.625; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q3:current_ratio:moderate_shift,trend_break,moderate_shift,1090872,2023-Q3,current_ratio,mixed,1.5112873259435877,1.5112873259435877,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.129432; slope_shift=0.0970738; streak=mixed:2; score=1.511; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2022-Q3:current_ratio:moderate_shift,trend_break,moderate_shift,1090872,2022-Q3,current_ratio,mixed,1.4660341380672517,1.4660341380672517,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.0690941; slope_shift=0.0518206; streak=mixed:2; score=1.466; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q3:debt_to_assets:moderate_shift,trend_break,moderate_shift,1090872,2025-Q3,debt_to_assets,mixed,1.4368008715977103,1.4368008715977103,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=0.0301164; slope_shift=-0.0225873; streak=mixed:2; score=1.437; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q3:debt_to_assets:moderate_shift,trend_break,moderate_shift,1090872,2024-Q3,debt_to_assets,mixed,1.4338941628986093,1.4338941628986093,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=-0.0262408; slope_shift=0.0196806; streak=mixed:2; score=1.434; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2022-Q3:debt_to_assets:moderate_shift,trend_break,moderate_shift,1090872,2022-Q3,debt_to_assets,mixed,1.4155990184945813,1.4155990184945813,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=0.00184727; slope_shift=-0.00138546; streak=mixed:2; score=1.416; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q3:debt_to_assets:moderate_shift,trend_break,moderate_shift,1090872,2023-Q3,debt_to_assets,mixed,1.4143602517266667,1.4143602517266667,0.0,1,trend_break,none,metric=debt_to_assets; prior_window=3; recent_window=2; mean_shift=-0.000195586; slope_shift=0.000146689; streak=mixed:2; score=1.414; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q2:revenue_growth_qoq:moderate_shift,trend_break,moderate_shift,1090872,2025-Q2,revenue_growth_qoq,mixed,1.259261800376063,1.259261800376063,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.134669; slope_shift=1.0614; streak=mixed:2; score=1.259; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q2:revenue_growth_qoq:moderate_shift,trend_break,moderate_shift,1090872,2023-Q2,revenue_growth_qoq,mixed,1.2560194221212315,1.2560194221212315,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.14126; slope_shift=1.04334; streak=mixed:2; score=1.256; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q2:net_margin:moderate_shift,trend_break,moderate_shift,1090872,2025-Q2,net_margin,mixed,1.2545993479950774,1.2545993479950774,0.0,1,trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=0.0273111; slope_shift=0.0190254; streak=mixed:2; score=1.255; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2024-Q2:revenue_growth_qoq:moderate_shift,trend_break,moderate_shift,1090872,2024-Q2,revenue_growth_qoq,mixed,1.216702202703504,1.216702202703504,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=-0.116437; slope_shift=1.04436; streak=mixed:2; score=1.217; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q3:net_margin:moderate_shift,trend_break,moderate_shift,1090872,2025-Q3,net_margin,deteriorating,1.179468600772168,1.179468600772168,0.0,1,trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=0.0167456; slope_shift=-0.018773; streak=deteriorating:2; score=1.179; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2026-Q1:current_ratio:moderate_shift,trend_break,moderate_shift,1090872,2026-Q1,current_ratio,mixed,1.104100424215468,1.104100424215468,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.239952; slope_shift=0.129296; streak=mixed:2; score=1.104; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q1:current_ratio:moderate_shift,trend_break,moderate_shift,1090872,2025-Q1,current_ratio,mixed,1.0585302837900579,1.0585302837900579,0.0,1,trend_break,none,metric=current_ratio; prior_window=3; recent_window=2; mean_shift=-0.0673317; slope_shift=-0.812803; streak=mixed:2; score=1.059; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q1:net_margin:moderate_shift,trend_break,moderate_shift,1090872,2025-Q1,net_margin,mixed,1.0445161702495565,1.0445161702495565,0.0,1,trend_break,none,metric=net_margin; prior_window=3; recent_window=2; mean_shift=-0.00937721; slope_shift=0.0556662; streak=mixed:2; score=1.045; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2023-Q3:revenue_growth_qoq:moderate_shift,trend_break,moderate_shift,1090872,2023-Q3,revenue_growth_qoq,mixed,1.0424159230484484,1.0424159230484484,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=0.454947; slope_shift=0.376564; streak=mixed:2; score=1.042; type=moderate_shift,trend_break_signals_csv;features_csv
trend:1090872:2025-Q3:revenue_growth_qoq:moderate_shift,trend_break,moderate_shift,1090872,2025-Q3,revenue_growth_qoq,mixed,1.0277695431265503,1.0277695431265503,0.0,1,trend_break,none,metric=revenue_growth_qoq; prior_window=3; recent_window=2; mean_shift=0.458072; slope_shift=0.367428; streak=mixed:2; score=1.028; type=moderate_shift,trend_break_signals_csv;features_csv
anomaly:1090872:2022-Q3:net_income:self_relative,anomaly,self_relative,1090872,2022-Q3,net_income,high,1.4300885985967944,0.9300885985967944,0.5,1,anomaly,duplicate_candidates_resolved;insufficient_peer_coverage;limited_peer_coverage,"type=self_only; score=0.930; raw_score=1.430; self_component=1.430; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.500; contributors=self_z,caveat_penalty",anomalies_csv;peer_signals_csv
anomaly:1090872:2024-Q3:net_margin:self_relative,anomaly,self_relative,1090872,2024-Q3,net_margin,low,1.2162113110093609,0.7162113110093609,0.5,2,anomaly;trend_break,insufficient_peer_coverage;limited_peer_coverage,"type=self_only; score=0.716; raw_score=1.216; self_component=1.216; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.500; contributors=self_z,caveat_penalty",anomalies_csv;peer_signals_csv
anomaly:1090872:2022-Q1:revenue:self_relative,anomaly,self_relative,1090872,2022-Q1,revenue,low,1.0642347343378271,0.1642347343378272,0.8999999999999999,1,anomaly,duplicate_candidates_resolved;fallback_tag_used;insufficient_peer_coverage;limited_peer_coverage;missing_prior_period;sparse_history,"type=self_only; score=0.164; raw_score=1.064; self_component=1.064; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.900; contributors=self_z,caveat_penalty",anomalies_csv;peer_signals_csv
