cik,period,metric,value,anomaly_category,self_anomaly,peer_anomaly,direction,zscore,self_baseline_mean,self_baseline_std,self_baseline_n,window_max_quarters,z_score_peer,peer_group_n,peer_deviation_strong,peer_cs_pct_rank,peer_cs_z,peer_cs_coverage,peer_cs_rank_signal,peer_cs_z_signal,peer_cs_alert,comparison_scope,caveat_codes,combined_score_raw,combined_score_adjusted,combined_penalty_total,combined_score,combined_signal_type,contributing_signals,score_components,combined_explanation,explanation,abs_z
789019,2024-Q1,debt_to_assets,0.499429578422044,self_relative,True,False,low,-3.853070811136351,0.5512915238506908,0.013459899381748354,4,4,-0.799692828458985,3,False,66.66666666666666,-0.5928117771599021,full,none,none,none,self_history,none,1.5412283244545404,1.5412283244545404,0.0,1.5412283244545404,self_only,self_z,self=1.541;peer=0.000;agreement=0.000;penalty=0.000;raw=1.541;score=1.541,type=self_only; score=1.541; raw_score=1.541; self_component=1.541; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=low; obs=0.49943; self_z=-3.8531; baseline_prior_quarters mean=0.551292 std=0.0134599 n=4/4; peer_LOO_z=-0.7997 (period_n=3); caveats=none,3.853070811136351
320193,2022-Q3,net_income,74129000000.0,self_relative,True,False,high,3.6940124042428906,39840750000.0,9282115555.59938,4,4,2.3980638084791837,3,False,,,unavailable,unavailable,unavailable,unavailable,self_history,none,1.4776049616971563,1.4776049616971563,0.0,1.4776049616971563,self_only,self_z,self=1.478;peer=0.000;agreement=0.000;penalty=0.000;raw=1.478;score=1.478,type=self_only; score=1.478; raw_score=1.478; self_component=1.478; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=7.4129e+10; self_z=3.6940; baseline_prior_quarters mean=3.9841e+10 std=9.2821e+09 n=4/4; peer_LOO_z=2.3981 (period_n=3); caveats=none,3.6940124042428906
789019,2026-Q1,debt_to_assets,0.44510931287893596,self_relative,True,False,low,-3.5763513209524462,0.48170570266368773,0.010232884440168897,4,4,-0.383188512969833,3,False,66.66666666666666,-0.3054855001659081,full,none,none,none,self_history,none,1.4305405283809784,1.4305405283809784,0.0,1.4305405283809784,self_only,self_z,self=1.431;peer=0.000;agreement=0.000;penalty=0.000;raw=1.431;score=1.431,type=self_only; score=1.431; raw_score=1.431; self_component=1.431; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=low; obs=0.445109; self_z=-3.5764; baseline_prior_quarters mean=0.481706 std=0.0102329 n=4/4; peer_LOO_z=-0.3832 (period_n=3); caveats=none,3.5763513209524462
1045810,2023-Q3,revenue,19271000000.0,self_relative,True,False,high,3.5644465645419623,9111750000.0,2850161958.117468,4,4,-2.6115656908167857,3,True,33.33333333333333,-1.1785665737885922,full,none,none,none,self_history,none,1.4257786258167848,1.4257786258167848,0.0,1.4257786258167848,self_only,self_z,self=1.426;peer=0.000;agreement=0.000;penalty=0.000;raw=1.426;score=1.426,type=self_only; score=1.426; raw_score=1.426; self_component=1.426; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=1.9271e+10; self_z=3.5644; baseline_prior_quarters mean=9.1118e+09 std=2.8502e+09 n=4/4; peer_LOO_z=-2.6116 (period_n=3); |peer_LOO|>threshold; caveats=none,3.5644465645419623
1045810,2025-Q1,debt_to_assets,0.346123417721519,self_relative,True,False,low,-3.5494450266749764,0.44693547570199066,0.028402202942387773,4,4,-1.7044334219352764,3,False,33.33333333333333,-0.9919314449049038,full,none,none,none,self_history,none,1.4197780106699907,1.4197780106699907,0.0,1.4197780106699907,self_only,self_z,self=1.420;peer=0.000;agreement=0.000;penalty=0.000;raw=1.420;score=1.420,type=self_only; score=1.420; raw_score=1.420; self_component=1.420; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=low; obs=0.346123; self_z=-3.5494; baseline_prior_quarters mean=0.446935 std=0.0284022 n=4/4; peer_LOO_z=-1.7044 (period_n=3); caveats=none,3.5494450266749764
1045810,2023-Q2,net_income,4285000000.0,self_relative,True,False,high,3.485622647643804,1810750000.0,709844481.2069753,4,4,-4.434953362788415,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,none,1.3942490590575216,1.3942490590575216,0.0,1.3942490590575216,self_only,self_z,self=1.394;peer=0.000;agreement=0.000;penalty=0.000;raw=1.394;score=1.394,type=self_only; score=1.394; raw_score=1.394; self_component=1.394; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=4.2850e+09; self_z=3.4856; baseline_prior_quarters mean=1.8108e+09 std=7.09844e+08 n=4/4; peer_LOO_z=-4.4350 (period_n=3); |peer_LOO|>threshold; caveats=none,3.485622647643804
1045810,2026-Q3,revenue,91166000000.0,self_relative,True,False,high,4.090397710951063,35411500000.0,13630581654.867117,4,4,,1,False,,,insufficient_peers,unavailable,unavailable,unavailable,self_history,insufficient_peer_coverage,1.636159084380425,1.386159084380425,0.25,1.386159084380425,self_only,self_z;caveat_penalty,self=1.636;peer=0.000;agreement=0.000;penalty=0.250;raw=1.636;score=1.386,"type=self_only; score=1.386; raw_score=1.636; self_component=1.636; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.250; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=9.1166e+10; self_z=4.0904; baseline_prior_quarters mean=3.5412e+10 std=1.3631e+10 n=4/4; peer_LOO_z=n/a; caveats=insufficient_peer_coverage,4.090397710951063
1045810,2026-Q3,net_income,50789000000.0,self_relative,True,False,high,3.8680852369424428,18017000000.0,8472408954.954901,4,4,,1,False,,,unavailable,unavailable,unavailable,unavailable,self_history,insufficient_peer_coverage,1.5472340947769772,1.2972340947769772,0.25,1.2972340947769772,self_only,self_z;caveat_penalty,self=1.547;peer=0.000;agreement=0.000;penalty=0.250;raw=1.547;score=1.297,"type=self_only; score=1.297; raw_score=1.547; self_component=1.547; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.250; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=5.0789e+10; self_z=3.8681; baseline_prior_quarters mean=1.8017e+10 std=8.4724e+09 n=4/4; peer_LOO_z=n/a; caveats=insufficient_peer_coverage,3.8680852369424428
1045810,2022-Q3,net_income,2875000000.0,self_relative,True,False,high,3.7329943105143886,1433666666.6666667,386106490.7797099,3,4,-3.8610997407559013,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,sparse_history,1.4931977242057555,1.2931977242057555,0.2,1.2931977242057555,self_only,self_z;caveat_penalty,self=1.493;peer=0.000;agreement=0.000;penalty=0.200;raw=1.493;score=1.293,"type=self_only; score=1.293; raw_score=1.493; self_component=1.493; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=2.8750e+09; self_z=3.7330; baseline_prior_quarters mean=1.4337e+09 std=3.86106e+08 n=3/4; peer_LOO_z=-3.8611 (period_n=3); |peer_LOO|>threshold; caveats=sparse_history,3.7329943105143886
1045810,2023-Q1,net_margin,0.33774951422010246,self_relative,True,False,high,3.0438682496184524,0.2504386246075485,0.028684188162052787,4,4,-0.3257334258026062,3,False,66.66666666666666,-0.26137825220308275,full,none,none,none,self_history,none,1.2175472998473809,1.2175472998473809,0.0,1.2175472998473809,self_only,self_z,self=1.218;peer=0.000;agreement=0.000;penalty=0.000;raw=1.218;score=1.218,type=self_only; score=1.218; raw_score=1.218; self_component=1.218; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=0.33775; self_z=3.0439; baseline_prior_quarters mean=0.250439 std=0.0286842 n=4/4; peer_LOO_z=-0.3257 (period_n=3); caveats=none,3.0438682496184524
1045810,2025-Q2,revenue_growth_qoq,1.878058954393771,self_relative,True,False,high,3.0100373652806813,-0.005423965078497878,0.6257340660276611,4,4,5.613926237565553,3,True,,,unavailable,unavailable,unavailable,unavailable,self_history,none,1.2040149461122724,1.2040149461122724,0.0,1.2040149461122724,self_only,self_z,self=1.204;peer=0.000;agreement=0.000;penalty=0.000;raw=1.204;score=1.204,type=self_only; score=1.204; raw_score=1.204; self_component=1.204; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=1.87806; self_z=3.0100; baseline_prior_quarters mean=-0.00542397 std=0.625734 n=4/4; peer_LOO_z=5.6139 (period_n=3); |peer_LOO|>threshold; caveats=none,3.0100373652806813
1045810,2024-Q1,net_margin,0.19522200772200773,self_relative,True,False,low,-2.884208654961763,0.32160850556074494,0.043820164543682344,4,4,-2.2914685566577297,3,False,33.33333333333333,-1.1281845017633791,full,none,none,none,self_history,none,1.1536834619847052,1.1536834619847052,0.0,1.1536834619847052,self_only,self_z,self=1.154;peer=0.000;agreement=0.000;penalty=0.000;raw=1.154;score=1.154,type=self_only; score=1.154; raw_score=1.154; self_component=1.154; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=low; obs=0.195222; self_z=-2.8842; baseline_prior_quarters mean=0.321609 std=0.0438202 n=4/4; peer_LOO_z=-2.2915 (period_n=3); caveats=none,2.884208654961763
1045810,2026-Q2,net_income,31480000000.0,self_relative,True,False,high,3.465458034165138,10657750000.0,6008513101.217305,4,4,,2,False,,,unavailable,unavailable,unavailable,unavailable,self_history,insufficient_peer_coverage,1.3861832136660552,1.1361832136660552,0.25,1.1361832136660552,self_only,self_z;caveat_penalty,self=1.386;peer=0.000;agreement=0.000;penalty=0.250;raw=1.386;score=1.136,"type=self_only; score=1.136; raw_score=1.386; self_component=1.386; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.250; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=3.1480e+10; self_z=3.4655; baseline_prior_quarters mean=1.0658e+10 std=6.0085e+09 n=4/4; peer_LOO_z=n/a; caveats=insufficient_peer_coverage,3.465458034165138
789019,2023-Q1,debt_to_assets,0.5435204473193729,self_relative,True,False,low,-2.768331361155816,0.5827958476420358,0.014187391319464357,4,4,-0.36426005072843765,3,False,66.66666666666666,-0.29105036691726277,full,none,none,none,self_history,none,1.1073325444623263,1.1073325444623263,0.0,1.1073325444623263,self_only,self_z,self=1.107;peer=0.000;agreement=0.000;penalty=0.000;raw=1.107;score=1.107,type=self_only; score=1.107; raw_score=1.107; self_component=1.107; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=low; obs=0.54352; self_z=-2.7683; baseline_prior_quarters mean=0.582796 std=0.0141874 n=4/4; peer_LOO_z=-0.3643 (period_n=3); caveats=none,2.768331361155816
789019,2022-Q3,net_income,44813000000.0,self_relative,True,False,high,2.7527999746548417,24663750000.0,7319547437.342011,4,4,0.17714093243888063,3,False,,,unavailable,unavailable,unavailable,unavailable,self_history,none,1.1011199898619366,1.1011199898619366,0.0,1.1011199898619366,self_only,self_z,self=1.101;peer=0.000;agreement=0.000;penalty=0.000;raw=1.101;score=1.101,type=self_only; score=1.101; raw_score=1.101; self_component=1.101; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.000; contributors=self_z,category=self_relative; self=True; peer_cs=False; dir=high; obs=4.4813e+10; self_z=2.7528; baseline_prior_quarters mean=2.4664e+10 std=7.3195e+09 n=4/4; peer_LOO_z=0.1771 (period_n=3); caveats=none,2.7527999746548417
320193,2021-Q3,net_income,44738000000.0,self_relative,True,False,high,3.000711174326607,27860500000.0,5624500000.0,2,4,1.7465582378177626,3,False,,,unavailable,unavailable,unavailable,unavailable,self_history,sparse_history,1.2002844697306427,1.0002844697306428,0.2,1.0002844697306428,self_only,self_z;caveat_penalty,self=1.200;peer=0.000;agreement=0.000;penalty=0.200;raw=1.200;score=1.000,"type=self_only; score=1.000; raw_score=1.200; self_component=1.200; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=4.4738e+10; self_z=3.0007; baseline_prior_quarters mean=2.7860e+10 std=5.6245e+09 n=2/4; peer_LOO_z=1.7466 (period_n=3); caveats=sparse_history,3.000711174326607
789019,2021-Q3,revenue,104982000000.0,self_relative,True,False,high,2.8978485883054246,51508000000.0,18453000000.0,2,4,-0.03794974356943427,3,False,66.66666666666666,-0.030978401002444828,full,none,none,none,self_history,sparse_history,1.1591394353221698,0.9591394353221698,0.2,0.9591394353221698,self_only,self_z;caveat_penalty,self=1.159;peer=0.000;agreement=0.000;penalty=0.200;raw=1.159;score=0.959,"type=self_only; score=0.959; raw_score=1.159; self_component=1.159; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=1.0498e+11; self_z=2.8978; baseline_prior_quarters mean=5.1508e+10 std=1.8453e+10 n=2/4; peer_LOO_z=-0.0379 (period_n=3); caveats=sparse_history,2.8978485883054246
789019,2021-Q3,net_income,33079000000.0,self_relative,True,False,high,2.845995364408962,16502500000.0,5824500000.0,2,4,0.4563681719627911,3,False,,,unavailable,unavailable,unavailable,unavailable,self_history,sparse_history,1.1383981457635848,0.9383981457635848,0.2,0.9383981457635848,self_only,self_z;caveat_penalty,self=1.138;peer=0.000;agreement=0.000;penalty=0.200;raw=1.138;score=0.938,"type=self_only; score=0.938; raw_score=1.138; self_component=1.138; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=3.3079e+10; self_z=2.8460; baseline_prior_quarters mean=1.6502e+10 std=5.8245e+09 n=2/4; peer_LOO_z=0.4564 (period_n=3); caveats=sparse_history,2.845995364408962
1045810,2022-Q3,revenue,11672000000.0,self_relative,True,False,high,2.7828570847691947,5946333333.333333,2057477797.9091024,3,4,-2.3738264775325346,3,False,33.33333333333333,-1.1424349615303169,full,none,none,none,self_history,sparse_history,1.1131428339076779,0.9131428339076779,0.2,0.9131428339076779,self_only,self_z;caveat_penalty,self=1.113;peer=0.000;agreement=0.000;penalty=0.200;raw=1.113;score=0.913,"type=self_only; score=0.913; raw_score=1.113; self_component=1.113; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.200; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=1.1672e+10; self_z=2.7829; baseline_prior_quarters mean=5.9463e+09 std=2.0575e+09 n=3/4; peer_LOO_z=-2.3738 (period_n=3); caveats=sparse_history,2.7828570847691947
1045810,2026-Q2,revenue,56084000000.0,self_relative,True,False,high,2.900359541720161,23188500000.0,11341869698.158236,4,4,,2,False,50.0,,rank_only,none,unavailable,none,self_history,insufficient_peer_coverage,1.1601438166880644,0.9101438166880644,0.25,0.9101438166880644,self_only,self_z;caveat_penalty,self=1.160;peer=0.000;agreement=0.000;penalty=0.250;raw=1.160;score=0.910,"type=self_only; score=0.910; raw_score=1.160; self_component=1.160; peer_component=0.000; agreement_bonus=0.000; caveat_penalty=0.250; contributors=self_z,caveat_penalty",category=self_relative; self=True; peer_cs=False; dir=high; obs=5.6084e+10; self_z=2.9004; baseline_prior_quarters mean=2.3188e+10 std=1.1342e+10 n=4/4; peer_LOO_z=n/a; caveats=insufficient_peer_coverage,2.900359541720161
789019,2025-Q1,net_margin,0.39441230072367606,peer_relative,False,True,high,,,,0,4,516.9468938851581,3,True,100.0,1.4142056243795769,full,high,none,extreme_high,peer_cross_section,no_self_timeseries_flag,1.0,0.9,0.1,0.9,peer_only,peer_cs;caveat_penalty,self=0.000;peer=1.000;agreement=0.000;penalty=0.100;raw=1.000;score=0.900,"type=peer_only; score=0.900; raw_score=1.000; self_component=0.000; peer_component=1.000; agreement_bonus=0.000; caveat_penalty=0.100; contributors=peer_cs,caveat_penalty",category=peer_relative; self=False; peer_cs=True; dir=high; obs=0.394412; self_z=n/a; peer_LOO_z=516.9469 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=no_self_timeseries_flag,258.4734469425791
320193,2024-Q1,debt_to_assets,0.8237407929480435,peer_relative,False,True,high,,,,0,4,18.96932995072997,3,True,100.0,1.4083549196265135,full,high,none,extreme_high,peer_cross_section,no_self_timeseries_flag,1.0,0.9,0.1,0.9,peer_only,peer_cs;caveat_penalty,self=0.000;peer=1.000;agreement=0.000;penalty=0.100;raw=1.000;score=0.900,"type=peer_only; score=0.900; raw_score=1.000; self_component=0.000; peer_component=1.000; agreement_bonus=0.000; caveat_penalty=0.100; contributors=peer_cs,caveat_penalty",category=peer_relative; self=False; peer_cs=True; dir=high; obs=0.823741; self_z=n/a; peer_LOO_z=18.9693 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=no_self_timeseries_flag,9.484664975364986
320193,2024-Q2,debt_to_assets,0.8237407929480435,peer_relative,False,True,high,,,,0,4,18.96932995072997,3,True,100.0,1.4083549196265135,full,high,none,extreme_high,peer_cross_section,no_self_timeseries_flag,1.0,0.9,0.1,0.9,peer_only,peer_cs;caveat_penalty,self=0.000;peer=1.000;agreement=0.000;penalty=0.100;raw=1.000;score=0.900,"type=peer_only; score=0.900; raw_score=1.000; self_component=0.000; peer_component=1.000; agreement_bonus=0.000; caveat_penalty=0.100; contributors=peer_cs,caveat_penalty",category=peer_relative; self=False; peer_cs=True; dir=high; obs=0.823741; self_z=n/a; peer_LOO_z=18.9693 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=no_self_timeseries_flag,9.484664975364986
320193,2024-Q3,debt_to_assets,0.8237407929480435,peer_relative,False,True,high,,,,0,4,18.96932995072997,3,True,100.0,1.4083549196265135,full,high,none,extreme_high,peer_cross_section,no_self_timeseries_flag,1.0,0.9,0.1,0.9,peer_only,peer_cs;caveat_penalty,self=0.000;peer=1.000;agreement=0.000;penalty=0.100;raw=1.000;score=0.900,"type=peer_only; score=0.900; raw_score=1.000; self_component=0.000; peer_component=1.000; agreement_bonus=0.000; caveat_penalty=0.100; contributors=peer_cs,caveat_penalty",category=peer_relative; self=False; peer_cs=True; dir=high; obs=0.823741; self_z=n/a; peer_LOO_z=18.9693 (period_n=3); |peer_LOO|>threshold; peer_cs_alert=extreme_high; caveats=no_self_timeseries_flag,9.484664975364986
